   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: KENYA

   Station: MALINDI

   Coordinates:

   Latitude =3DEG14'S

   Longitude =40DEG06'E

   Elevation = 20

   WMO Identifier: 63799

   Year 1990

   +------------------------------------------------------------------------+
   |  DATE |    MAY | F |    JUN | F |    JUL | F |    AUG | F |    SEP | F |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     1 |   2306 | 0 |   1720 | 0 |   1780 | 0 |   1917 | 0 |   2178 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     2 |   1630 | 0 |   1814 | 0 |   2067 | 0 |   1210 | 0 |   1973 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     3 |   2238 | 0 |   2088 | 0 |   1883 | 0 |   2178 | 0 |   1789 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     4 |   2088 | 0 |   2294 | 0 |   2088 | 0 |   1964 | 0 |   1686 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     5 |   2110 | 0 |   2041 | 0 |   1767 | 0 |   2054 | 0 |   2020 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     6 |   2088 | 0 |   2225 | 0 |   1549 | 0 |   2204 | 0 |   1849 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     7 |   1917 | 0 |   2135 | 0 |   2131 | 0 |   1699 | 0 |   2020 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     8 |   2122 | 0 |   1767 | 0 |   1831 | 0 |   2088 | 0 |   2075 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |     9 |   2135 | 0 |   2110 | 0 |   2075 | 0 |   2067 | 0 |   1951 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    10 |   1605 | 0 |   1926 | 0 |   1870 | 0 |   2101 | 0 |   2088 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    11 |    975 | 0 |   1570 | 0 |   1374 | 0 |   1849 | 0 |   2204 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    12 |   1446 | 0 |   2135 | 0 |   1562 | 0 |   1819 | 0 |   2135 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    13 |   1399 | 0 |   2110 | 0 |   1699 | 0 |   2080 | 0 |   2135 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    14 |    471 | 0 |   1134 | 0 |   2456 | 0 |   1789 | 0 |   1605 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    15 |   1262 | 0 |   1823 | 0 |   1926 | 0 |   1951 | 0 |   2110 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    16 |   1078 | 0 |   2075 | 0 |   1994 | 0 |   1973 | 0 |   1938 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    17 |   2204 | 0 |   1926 | 0 |   1665 | 0 |   2088 | 0 |   2041 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    18 |   2396 | 0 |   2247 | 0 |   1917 | 0 |   1673 | 0 |   2067 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    19 |   2131 | 0 |   2225 | 0 |   2007 | 0 |   1613 | 0 |   2431 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    20 |   2272 | 0 |   1960 | 0 |   1652 | 0 |   1904 | 0 |   2204 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    21 |   1998 | 0 |   1994 | 0 |   1802 | 0 |   2007 | 0 |   2431 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    22 |   1891 | 0 |   1515 | 0 |   1746 | 0 |   2067 | 0 |   2122 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    23 |   1284 | 0 |   1951 | 0 |   1891 | 0 |   2135 | 0 |   2135 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    24 |   1652 | 0 |   1994 | 0 |   1100 | 0 |   1459 | 0 |   2204 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    25 |   2251 | 0 |   1938 | 0 |   1459 | 0 |   1630 | 0 |   2033 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    26 |   1707 | 0 |   2110 | 0 |   2075 | 0 |   1515 | 0 |   2204 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    27 |   1605 | 0 |   2101 | 0 |   1344 | 0 |   1857 | 0 |   2328 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    28 |   1823 | 0 |   1891 | 0 |   1951 | 0 |   2020 | 0 |   2396 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    29 |   1057 | 0 |   1836 | 0 |   2041 | 0 |   2259 | 0 |   1446 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    30 |   1630 | 0 |   1973 | 0 |   1802 | 0 |   1973 | 0 |   1344 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |    31 |   1677 | 0 |      - | - |   2067 | 0 |   2020 | 0 |      - | - |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |   SUM |  54448 | 0 |  58628 | 0 |  56571 | 0 |  59163 | 0 |  61142 | 0 |
   |-------+--------+---+--------+---+--------+---+--------+---+--------+---|
   |  MEAN |   1756 | 0 |   1954 | 0 |   1825 | 0 |   1908 | 0 |   2038 | 0 |
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
