   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: LICHINGA

   Coordinates:

   Latitude =13DEG18'S

   Longitude =35DEG17'E

   Elevation = 1364

   WMO Identifier: 67217

   Year 2008

   +------------------------------------------------------------------------+
   | DATE|   FEB|F|  MAR|F|APR|F|  MAY|F|  JUN|F|JUL|F|AUG|F|  SEP|F|  OCT|F|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |    1|  1302|0| 1204|0|  -|-| 1622|0|  945|0|  -|-|  -|-| 1789|0| 2156|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |    2|  1390|0| 1726|0|  -|-| 1852|0| 1538|0|  -|-|  -|-|  854|0| 2064|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |    3|  1403|0| 2077|0|  -|-| 1839|0| 1492|0|  -|-|  -|-|  982|0| 2060|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |    4|   729|0| 1843|0|  -|-| 1283|0| 1793|0|  -|-|  -|-| 1796|0| 2031|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |    5|  1089|0| 1225|0|  -|-| 1818|0| 1651|0|  -|-|  -|-| 1851|0| 2060|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |    6|  1189|0| 2144|0|  -|-| 1785|0| 1814|0|  -|-|  -|-| 2445|0| 2194|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |    7|  1080|0| 1827|0|  -|-| 1609|0| 1664|0|  -|-|  -|-| 1838|0| 1583|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |    8|   913|0| 2069|0|  -|-| 1166|0| 1392|0|  -|-|  -|-| 1830|0| 1947|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |    9|  1440|0| 2057|0|  -|-| 1170|0| 1438|0|  -|-|  -|-| 2487|0| 1754|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |   10|  1507|0| 2370|0|  -|-| 1045|0|  991|0|  -|-|  -|-| 1658|0| 1800|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |   11|  1738|0| 2111|0|  -|-| 1655|0|  874|0|  -|-|  -|-| 1809|0| 1570|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |   12|  2085|0| 1237|0|  -|-| 1175|0| 1124|0|  -|-|  -|-| 1922|0| 1532|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |   13|  2001|0| 1413|0|  -|-| 1655|0| 1275|0|  -|-|  -|-|  913|0| 1415|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |   14|  1938|0| 1275|0|  -|-| 1693|0| 1563|0|  -|-|  -|-| 1842|0| 1608|0|
   |-----+------+-+-----+-+---+-+-----+-+-----+-+---+-+---+-+-----+-+-----+-|
   |   15|  2013|0| 1597|0|  -|-| 1818|0| 1693|0|  -|-|  -|-| 1969|0| 1633|0|
