   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: TANZANIA

   Station: KIGOMA

   Coordinates:

   Latitude =4DEG53'S

   Longitude =29DEG38'E

   Elevation = 882

   WMO Identifier: 63801

   Year 1970

   +------------------------------------+
   |         DATE |         DEC |     F |
   |--------------+-------------+-------|
   |            1 |        1637 |     0 |
   |--------------+-------------+-------|
   |            2 |        1850 |     0 |
   |--------------+-------------+-------|
   |            3 |        1637 |     0 |
   |--------------+-------------+-------|
   |            4 |        2043 |     0 |
   |--------------+-------------+-------|
   |            5 |         816 |     0 |
   |--------------+-------------+-------|
   |            6 |        1724 |     0 |
   |--------------+-------------+-------|
   |            7 |        1875 |     0 |
   |--------------+-------------+-------|
   |            8 |        1925 |     0 |
   |--------------+-------------+-------|
   |            9 |        1055 |     0 |
   |--------------+-------------+-------|
   |           10 |        2001 |     0 |
   |--------------+-------------+-------|
   |           11 |        1603 |     0 |
   |--------------+-------------+-------|
   |           12 |        1804 |     0 |
   |--------------+-------------+-------|
   |           13 |        1113 |     0 |
   |--------------+-------------+-------|
   |           14 |        1628 |     0 |
   |--------------+-------------+-------|
   |           15 |        1410 |     0 |
   |--------------+-------------+-------|
   |           16 |        1896 |     0 |
   |--------------+-------------+-------|
   |           17 |         845 |     0 |
   |--------------+-------------+-------|
   |           18 |        1381 |     0 |
   |--------------+-------------+-------|
   |           19 |        1737 |     0 |
   |--------------+-------------+-------|
   |           20 |        1465 |     0 |
   |--------------+-------------+-------|
   |           21 |        1829 |     0 |
   |--------------+-------------+-------|
   |           22 |        1201 |     0 |
   |--------------+-------------+-------|
   |           23 |        1515 |     0 |
   |--------------+-------------+-------|
   |           24 |        1971 |     0 |
   |--------------+-------------+-------|
   |           25 |        1745 |     0 |
   |--------------+-------------+-------|
   |           26 |        1553 |     0 |
   |--------------+-------------+-------|
   |           27 |        1448 |     0 |
   |--------------+-------------+-------|
   |           28 |        1293 |     0 |
   |--------------+-------------+-------|
   |           29 |        1457 |     0 |
   |--------------+-------------+-------|
   |           30 |        1842 |     0 |
   |--------------+-------------+-------|
   |           31 |        1628 |     0 |
   |--------------+-------------+-------|
   |          SUM |       48918 |     0 |
   |--------------+-------------+-------|
   |         MEAN |        1578 |     0 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
