   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: MOZAMBIQUE

   Station: INHAMBANE

   Coordinates:

   Latitude =23DEG52'S

   Longitude =35DEG23'E

   Elevation = 14

   WMO Identifier: 67323

   Year 1997

   +------------------------------------------------------------------------+
   |    DATE|    JUN|F|     JUL|F|    AUG|F|     SEP|F|     OCT|F|     NOV|F|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |       1|      -|2|    1562|0|      -|2|     770|0|    2278|0|    3203|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |       2|      -|2|    1629|0|      -|2|    1834|0|    1352|0|    3044|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |       3|      -|2|    1704|0|      -|2|    2060|0|    2818|0|    2876|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |       4|      -|2|    1717|0|      -|2|     783|0|    2303|0|    2675|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |       5|      -|2|    1063|0|      -|2|    1235|0|    2696|0|    3010|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |       6|      -|2|    1436|0|      -|2|    2215|0|    2675|0|    3128|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |       7|      -|2|    1252|0|      -|2|    2177|0|    2433|0|    3048|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |       8|      -|2|    1604|0|      -|2|    1658|0|    2135|0|    3002|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |       9|      -|2|    1264|0|      -|2|     984|0|    1382|0|    3081|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      10|      -|2|    1256|0|      -|2|     942|0|    1181|0|    2721|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      11|      -|2|    1369|0|      -|2|    1176|0|    2784|0|    2562|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      12|      -|2|    1202|0|      -|2|    1026|0|    1524|0|       -|2|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      13|      -|2|    1072|0|      -|2|    1926|0|    1507|0|       -|2|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      14|      -|2|    1733|0|      -|2|    1805|0|    2520|0|       -|2|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      15|      -|2|    1604|0|      -|2|    1009|0|    1779|0|    2692|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      16|      -|2|    1545|0|   2035|0|    1922|0|    2148|0|    1168|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      17|      -|2|    1758|0|   2018|0|    2617|0|    1658|0|     712|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      18|      -|2|    1771|0|   2022|0|    2516|0|    2717|0|     749|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      19|      -|2|    1650|0|   1671|0|    2194|0|    2031|0|    3128|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      20|      -|2|    1796|0|   2152|0|    2441|0|    1758|0|    3165|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      21|      -|2|    1754|0|   1876|0|    2324|0|    1800|0|    3299|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      22|      -|2|    1746|0|   1888|0|    2424|0|    2872|0|    2952|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      23|      -|2|    1809|0|   1729|0|    2458|0|    1926|0|    1851|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      24|   1599|0|    1809|0|   1583|0|    2014|0|    2265|0|    2587|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      25|   1666|0|    1763|0|   2110|0|    1796|0|    2868|0|    2571|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      26|   1578|0|    1315|0|   2252|0|    2688|0|    2931|0|     787|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      27|   1537|0|    1633|0|   1758|0|    2767|0|    1495|0|    1290|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      28|   1570|0|    1729|0|   2010|0|    2726|0|    1474|0|    1260|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      29|   1641|0|    1038|0|   1901|0|    2776|0|    2219|0|    1252|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      30|   1612|0|    1428|0|   2068|0|     955|0|    2144|0|    1193|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |      31|      -|-|    1665|0|   1926|0|       -|-|    2801|0|       -|-|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |     SUM|      -|2|   47676|0|      -|2|   56218|0|   66474|0|   70007|0|
   |--------+-------+-+--------+-+-------+-+--------+-+--------+-+--------+-|
   |    MEAN|      -|2|    1538|0|      -|2|    1874|0|    2144|0|    2334|0|
   +------------------------------------------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
