   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: KENYA

   Station: VOI

   Coordinates:

   Latitude =3DEG24'S

   Longitude =38DEG34'E

   Elevation = 560

   WMO Identifier: 63793

   Year 1981

+----------------------------------------------------------------------------------------------------+
|DATE|  JAN|F|  FEB|F|  MAR|F|  APR|F|  MAY|F|  JUN|F|  JUL|F|  AUG|F|  SEP|F|  OCT|F|  NOV|F|  DEC|F|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   1| 1990|0| 2058|0| 2550|0| 1712|0| 2097|0| 2050|0| 1618|0| 1220|0| 1831|0| 2178|0| 2084|0| 2452|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   2| 2632|0| 1904|0| 2050|0| 1857|0| 2097|0| 1618|0| 2298|0| 1181|0| 1318|0| 2170|0| 2585|0| 2644|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   3| 2670|0| 2405|0| 2345|0| 2050|0| 1977|0| 2024|0| 2011|0| 1130|0| 1618|0| 2727|0| 1870|0| 1990|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   4| 2577|0| 2225|0| 2764|0| 1990|0| 1511|0| 1712|0| 1404|0| 1112|0| 1425|0| 2727|0| 1404|0| 1784|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   5| 2670|0| 1831|0| 2563|0| 1930|0| 1511|0| 2097|0| 1917|0| 1720|0| 1570|0| 2670|0| 1665|0| 1810|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
|   6| 2644|0| 2431|0| 2097|0| 1857|0| 1844|0| 1391|0| 1451|0| 1455|0| 1570|0| 2050|0| 2657|0| 2071|0|
|----+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-+-----+-|
