   Global radiation. Daily sums, monthly sums and means (Africa).

   Country: ZAIRE

   Station: KINDU

   Coordinates:

   Latitude =2DEG57'S

   Longitude =25DEG55'E

   Elevation = 515

   WMO Identifier: 64155

   Year 1983

   +------------------------------------+
   |         DATE |         JAN |     F |
   |--------------+-------------+-------|
   |            1 |        1534 |     0 |
   |--------------+-------------+-------|
   |            2 |         587 |     0 |
   |--------------+-------------+-------|
   |            3 |        1223 |     0 |
   |--------------+-------------+-------|
   |            4 |        1747 |     0 |
   |--------------+-------------+-------|
   |            5 |         813 |     0 |
   |--------------+-------------+-------|
   |            6 |        1458 |     0 |
   |--------------+-------------+-------|
   |            7 |        1957 |     0 |
   |--------------+-------------+-------|
   |            8 |        1676 |     0 |
   |--------------+-------------+-------|
   |            9 |        1651 |     0 |
   |--------------+-------------+-------|
   |           10 |        1180 |     0 |
   |--------------+-------------+-------|
   |           11 |        1668 |     0 |
   |--------------+-------------+-------|
   |           12 |        1525 |     0 |
   |--------------+-------------+-------|
   |           13 |        1785 |     0 |
   |--------------+-------------+-------|
   |           14 |        2070 |     0 |
   |--------------+-------------+-------|
   |           15 |        1345 |     0 |
   |--------------+-------------+-------|
   |           16 |        2116 |     0 |
   |--------------+-------------+-------|
   |           17 |        1999 |     0 |
   |--------------+-------------+-------|
   |           18 |        1693 |     0 |
   |--------------+-------------+-------|
   |           19 |        1479 |     0 |
   |--------------+-------------+-------|
   |           20 |        2045 |     0 |
   |--------------+-------------+-------|
   |           21 |        1240 |     0 |
   |--------------+-------------+-------|
   |           22 |        1617 |     0 |
   |--------------+-------------+-------|
   |           23 |        1756 |     0 |
   |--------------+-------------+-------|
   |           24 |        1860 |     0 |
   |--------------+-------------+-------|
   |           25 |        1320 |     0 |
   |--------------+-------------+-------|
   |           26 |        2061 |     0 |
   |--------------+-------------+-------|
   |           27 |        1844 |     0 |
   |--------------+-------------+-------|
   |           28 |        1534 |     0 |
   |--------------+-------------+-------|
   |           29 |         771 |     0 |
   |--------------+-------------+-------|
   |           30 |        1747 |     0 |
   |--------------+-------------+-------|
   |           31 |        2078 |     0 |
   |--------------+-------------+-------|
   |          SUM |       49379 |     0 |
   |--------------+-------------+-------|
   |         MEAN |        1593 |     0 |
   +------------------------------------+

   Download data in comma separated form
   Download data in comma separated form with headers
   Download data in comma separated form without quality flags
   Note:
   1. Data are presented in the same sequence with the table above
   2. Value "-32768" - no data available or bad data
